Income,Kidhome,Teenhome,JoinDateEpochTime,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,AcceptedCmp6,Responsiveness,LivesWithPartner,Age,TotalSpent,TotalPurchases,AverageSpent,EducationEncoded
58138.0,0,0,1346716800,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0.0,0,57,1617,22,73.5,1.0
46344.0,1,1,1394236800,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,0.0,0,60,27,4,6.75,1.0
71613.0,0,0,1377043200,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0.0,1,49,776,20,38.8,1.0
26646.0,1,0,1391990400,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,0.0,1,30,53,6,8.833333333333334,1.0
58293.0,1,0,1390089600,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,0.0,1,33,422,14,30.142857142857142,3.0
62513.0,0,1,1378684800,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,0.0,1,47,716,20,35.8,2.0
55635.0,0,1,1352764800,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,0.0,0,43,590,17,34.705882352941174,1.0
33454.0,1,0,1367971200,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0.0,1,29,169,8,21.125,3.0
30351.0,1,0,1370476800,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,0.0,1,40,46,5,9.2,3.0
5648.0,1,1,1394668800,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,0.2,1,64,49,1,49.0,3.0
52365.34812623274,1,0,1384473600,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,0.0,1,31,19,3,6.333333333333333,1.0
7500.0,0,0,1352764800,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0.0,1,38,61,5,12.2,0.0
63033.0,0,0,1384473600,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0.0,0,55,1102,15,73.46666666666667,1.0
59354.0,1,1,1384473600,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,0.0,0,62,310,12,25.833333333333332,2.0
17323.0,0,0,1349827200,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0.0,1,27,46,4,11.5,1.0
82800.0,0,0,1353715200,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0.4,0,68,1315,25,52.6,3.0
41850.0,1,1,1356307200,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,0.0,1,34,96,6,16.0,1.0
37760.0,0,0,1346371200,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0.0,1,68,317,11,28.818181818181817,1.0
76995.0,0,1,1364428800,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,0.2,1,65,1782,24,74.25,2.0
33812.0,1,0,1351900800,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,0.0,0,29,133,6,22.166666666666668,2.0
37040.0,0,0,1344384000,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0.0,1,32,316,11,28.727272727272727,1.0
2447.0,1,0,1357430400,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,0.0,1,35,1730,28,61.785714285714285,1.0
58607.0,0,1,1356220800,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,0.2,1,65,972,14,69.42857142857143,3.0
65324.0,0,1,1389398400,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,0.0,1,60,544,17,32.0,3.0
40689.0,0,1,1363564800,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,0.0,1,63,444,13,34.15384615384615,1.0
18589.0,0,0,1357084800,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0.0,0,45,75,6,12.5,1.0
53359.0,1,1,1369612800,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,0.0,1,38,257,10,25.7,1.0
52365.34812623274,1,0,1361318400,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,0.0,0,28,637,27,23.59259259259259,1.0
38360.0,1,0,1369958400,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,0.0,1,25,131,7,18.714285714285715,1.0
84618.0,0,0,1385078400,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0.2,1,49,1672,25,66.88,3.0
10979.0,0,0,1400716800,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0.0,0,25,30,6,5.0,2.0
38620.0,0,0,1368230400,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0.0,1,51,318,10,31.8,2.0
40548.0,0,1,1349827200,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,0.2,1,44,120,7,17.142857142857142,1.0
46610.0,0,2,1351468800,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,0.0,0,62,302,11,27.454545454545453,3.0
68657.0,0,0,1361318400,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0.0,1,68,1196,17,70.3529411764706,2.0
49389.0,1,1,1377734400,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,0.0,0,63,65,5,13.0,2.0
67353.0,0,1,1388448000,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,0.0,1,44,913,23,39.69565217391305,3.0
23718.0,1,0,1378080000,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,0.0,1,38,81,6,13.5,2.0
42429.0,0,1,1392076800,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,0.0,0,41,67,5,13.4,1.0
48948.0,0,0,1359676800,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0.2,0,71,902,22,41.0,3.0
80011.0,0,1,1367193600,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,0.0,1,34,1395,19,73.42105263157895,1.0
20559.0,1,0,1363046400,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,0.0,1,29,53,5,10.6,2.0
21994.0,0,1,1356307200,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0.0,1,57,22,3,7.333333333333333,1.0
52365.34812623274,0,0,1383609600,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0.0,0,55,186,8,23.25,3.0
7500.0,1,0,1380672000,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,0.0,1,39,31,5,6.2,2.0
79941.0,0,0,1403913600,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0.0,0,38,984,15,65.6,1.0
7500.0,0,0,1352419200,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0.0,1,18,122,7,17.428571428571427,2.0
41728.0,1,0,1369353600,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,0.0,1,46,55,4,13.75,1.0
52365.34812623274,2,1,1388534400,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,0.0,0,63,124,7,17.714285714285715,1.0
72550.0,1,1,1352332800,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,0.0,1,60,1319,19,69.42105263157895,3.0
65486.0,0,1,1399852800,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,0.0,0,57,507,16,31.6875,1.0
79143.0,0,0,1344643200,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0.0,1,50,1693,28,60.464285714285715,2.0
35790.0,1,0,1357084800,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,0.0,0,37,72,5,14.4,1.0
82582.0,0,0,1402099200,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0.4,0,37,1617,20,80.85,1.0
66373.0,1,1,1370995200,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,0.0,1,36,606,16,37.875,1.0
82384.0,0,0,1353283200,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0.2,1,59,1957,26,75.26923076923077,2.0
70287.0,0,0,1364860800,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0.0,0,48,1093,20,54.65,1.0
27938.0,1,0,1398643200,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,0.0,0,26,29,5,5.8,1.0
52365.34812623274,1,0,1371427200,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,0.0,0,32,46,5,9.2,1.0
55954.0,0,1,1393804800,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,0.0,1,46,518,16,32.375,3.0
75777.0,0,0,1372896000,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0.4,0,32,1438,20,71.9,2.0
66653.0,1,1,1346976000,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,0.0,1,39,612,18,34.0,1.0
61823.0,0,1,1361145600,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,0.0,0,62,884,20,44.2,1.0
67680.0,0,1,1370908800,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,0.0,0,63,606,18,33.666666666666664,3.0
70666.0,0,0,1386288000,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0.0,1,66,1076,15,71.73333333333333,1.0
25721.0,1,0,1369094400,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,0.0,1,43,34,4,8.5,1.0
32474.0,1,1,1399766400,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,0.0,1,47,11,3,3.6666666666666665,1.0
88194.0,0,1,1395187200,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,0.4,0,35,1274,31,41.096774193548384,2.0
69096.0,0,1,1380240000,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,0.0,1,56,653,17,38.411764705882355,1.0
74854.0,1,2,1365379200,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,0.0,1,44,1562,12,130.16666666666666,1.0
66991.0,0,0,1347321600,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0.0,1,60,1253,18,69.61111111111111,2.0
52365.34812623274,1,0,1347580800,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,0.0,1,41,109,6,18.166666666666668,2.0
65031.0,0,1,1363478400,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,0.0,1,55,863,26,33.19230769230769,1.0
60631.0,1,1,1365120000,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,0.2,1,39,661,19,34.78947368421053,3.0
28332.0,0,0,1398816000,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0.0,1,62,65,7,9.285714285714286,1.0
40246.0,1,0,1355875200,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,0.0,0,37,13,3,4.333333333333333,1.0
75251.0,0,0,1346025600,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0.0,1,42,1890,18,105.0,2.0
75825.0,0,0,1350000000,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0.2,0,38,2209,22,100.4090909090909,1.0
26326.0,0,0,1378252800,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0.0,1,38,18,3,6.0,2.0
56046.0,0,0,1357084800,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0.2,1,49,692,19,36.421052631578945,1.0
29760.0,1,0,1346198400,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,0.0,0,29,165,8,20.625,1.0
26304.0,1,0,1371945600,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,0.0,1,45,16,3,5.333333333333333,1.0
23559.0,1,0,1372809600,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,0.0,1,41,79,6,13.166666666666666,2.0
81361.0,0,0,1393286400,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0.0,0,27,778,26,29.923076923076923,1.0
29440.0,1,1,1376179200,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,0.0,1,54,56,5,11.2,1.0
36138.0,1,1,1373932800,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,0.2,1,44,151,8,18.875,2.0
50388.0,0,1,1401235200,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,0.4,0,57,372,13,28.615384615384617,1.0
79593.0,0,0,1399852800,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,0.2,1,41,1366,18,75.88888888888889,1.0
54178.0,0,1,1390262400,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,0.0,1,47,194,9,21.555555555555557,1.0
52365.34812623274,2,1,1353283200,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,0.0,1,57,603,17,35.470588235294116,3.0
52365.34812623274,1,1,1401148800,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,0.0,0,57,18,3,6.0,1.0
52365.34812623274,0,0,1385164800,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,0.0,1,41,985,14,70.35714285714286,2.0
42394.0,1,0,1395532800,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,0.0,0,42,32,4,8.0,2.0
23626.0,1,0,1400889600,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,0.0,1,44,43,7,6.142857142857143,3.0
30096.0,1,0,1400716800,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,0.0,1,31,45,5,9.0,1.0
47916.0,0,1,1353542400,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,0.2,0,54,606,17,35.64705882352941,1.0
51813.0,1,1,1365638400,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,0.0,0,42,63,5,12.6,1.0
78497.0,0,0,1385856000,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,0.2,1,63,978,24,40.75,2.0
50150.0,0,0,1371686400,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0.0,1,31,410,14,29.285714285714285,3.0
47823.0,0,1,1374537600,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,0.0,0,54,72,5,14.4,2.0
34554.0,0,1,1396137600,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,0.0,0,55,55,5,11.0,3.0
85693.0,0,1,1366416000,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,0.0,1,35,1169,25,46.76,1.0
65846.0,0,0,1368748800,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0.0,1,69,1120,15,74.66666666666667,3.0
87195.0,0,0,1399507200,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0.0,1,55,1097,19,57.73684210526316,1.0
24594.0,1,0,1386633600,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,0.0,1,35,29,4,7.25,0.0
49096.0,1,1,1379980800,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,0.0,1,50,187,9,20.77777777777778,1.0
52413.0,0,2,1359763200,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,0.0,1,45,910,22,41.36363636363637,1.0
38557.0,1,0,1355875200,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,0.0,0,36,145,7,20.714285714285715,1.0
89058.0,0,0,1354838400,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0.0,1,54,850,13,65.38461538461539,2.0
77298.0,0,1,1383350400,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,0.0,1,35,969,23,42.130434782608695,1.0
68126.0,0,0,1352505600,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,0.2,0,23,1820,16,113.75,3.0
57288.0,0,1,1403654400,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,0.2,1,51,608,17,35.76470588235294,2.0
86037.0,0,0,1357084800,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,0.4,0,23,730,24,30.416666666666668,1.0
43974.0,1,0,1355270400,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,0.0,1,34,551,16,34.4375,3.0
50785.0,1,1,1378771200,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,0.0,0,52,114,6,19.0,1.0
90765.0,0,0,1390521600,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,0.4,1,44,1724,15,114.93333333333334,1.0
36550.0,1,0,1361232000,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,0.0,1,36,577,15,38.46666666666667,2.0
30753.0,1,1,1373500800,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,0.0,1,47,81,5,16.2,2.0
21918.0,1,0,1384387200,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,0.0,1,45,33,5,6.6,1.0
56129.0,0,1,1371686400,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,0.0,1,61,660,18,36.666666666666664,2.0
32557.0,1,0,1393200000,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,0.0,0,47,80,6,13.333333333333334,2.0
19510.0,2,0,1378252800,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,0.0,1,29,30,4,7.5,2.0
30992.0,1,0,1366588800,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,0.0,0,38,43,4,10.75,1.0
101970.0,0,0,1363046400,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,0.6,0,31,1135,27,42.03703703703704,1.0
71488.0,0,0,1361145600,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0.0,1,49,559,14,39.92857142857143,2.0
79607.0,0,0,1366502400,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,0.0,0,30,1923,15,128.2,1.0
54348.0,1,1,1402185600,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,0.0,1,61,90,6,15.0,2.0
52365.34812623274,0,1,1373500800,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,0.0,1,53,404,14,28.857142857142858,3.0
77376.0,1,1,1399680000,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,0.0,1,58,661,19,34.78947368421053,3.0
62998.0,0,1,1380499200,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,0.0,1,62,463,14,33.07142857142857,1.0
61331.0,1,1,1362873600,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,0.0,0,56,632,18,35.111111111111114,2.0
73448.0,0,0,1391990400,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,0.0,1,45,725,18,40.27777777777778,1.0
52365.34812623274,0,1,1376179200,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,0.0,1,51,725,18,40.27777777777778,1.0
41551.0,1,1,1376438400,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,0.0,1,50,279,11,25.363636363636363,3.0
62981.0,0,0,1363478400,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,0.2,1,47,1482,22,67.36363636363636,3.0
9548.0,1,0,1344384000,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,0.0,0,38,29,4,7.25,0.0
33762.0,2,1,1373155200,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,0.0,1,55,106,6,17.666666666666668,3.0
35860.0,1,1,1400457600,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,0.2,0,41,49,4,12.25,3.0
36921.0,1,1,1374969600,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,0.0,0,49,38,5,7.6,3.0
92859.0,0,0,1350604800,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,0.0,0,22,2077,21,98.9047619047619,2.0
65104.0,0,1,1384387200,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,0.0,1,38,1053,15,70.2,2.0
86111.0,0,0,1366329600,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,0.0,1,52,1385,22,62.95454545454545,1.0
68352.0,0,1,1377648000,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,0.0,0,40,871,22,39.59090909090909,3.0
41883.0,1,0,1363651200,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,0.0,1,26,312,9,34.666666666666664,1.0
59809.0,0,2,1350518400,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,0.0,1,38,877,12,73.08333333333333,1.0
23957.0,1,0,1351382400,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,0.0,1,39,68,5,13.6,1.0
38547.0,1,0,1377648000,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,0.0,1,33,22,3,7.333333333333333,1.0
35688.0,2,1,1345593600,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,0.0,1,41,211,9,23.444444444444443,2.0
49605.0,0,0,1403308800,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,0.0,1,48,127,7,18.142857142857142,2.0
59354.0,0,2,1398297600,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,0.0,1,61,459,15,30.6,2.0
65747.0,0,1,1394150400,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,0.2,1,45,460,15,30.666666666666668,1.0
46344.0,0,1,1355443200,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,0.0,1,42,429,13,33.0,2.0
34176.0,1,0,1399852800,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,0.0,0,26,89,7,12.714285714285714,1.0
61010.0,0,1,1349740800,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,0.0,1,62,1021,24,42.541666666666664,3.0
